Kultur Kategorien 2020;Kultur AUI;Total;Tal_Pflug;Tal_Mulch;Tal_Direkt;Berg_Pflug;Berg_Mulch;Berg_Direkt;hinzugefuegt
Ackerbohnen zu Futterzwecken;Sommer/Winterackerbohnen;0.100617991;0.122124963;0.088190243;0.06;0.1;0.08;0.06;
Ackerschonstreifen;;0.1;0.1;0.08;0.05;0.1;0.08;0.05;
Andere Obstanlagen (Kiwis, Holunder usw.);;0.01;0.01;0.01;0.01;0.01;0.01;0.01;13.11.2024
Baumschule von Forstpflanzen ausserhalb der Forstzone;;0.01;0.01;0.01;0.01;0.01;0.01;0.01;13.11.2024
Baumschulen von Reben;;0.01;0.01;0.01;0.01;0.01;0.01;0.01;13.11.2024
Blühstreifen für Bestäuber und andere Nützlinge;;0.05;0.05;0.04;0.03;0.05;0.04;0.03;
Buchweizen;Buchweizen;0.104217031;0.104217031;0.08;0.06;0.1;0.08;0.06;
Buntbrache;;0.060003789;0.062211863;0.063579463;0.05;0.046666647;0.03303533;0.0265;
Christbäume;;0.01;0.01;0.01;0.01;0.01;0.01;0.01;13.11.2024
Dinkel;Dinkel (Winterkorn);0.098337992;0.1164253;0.084070601;0.04317985;0.092651861;0.072138953;0.06;
Einjährige Beeren (z.B. Erdbeeren);;0.1;0.1;0.08;0.05;0.1;0.08;0.05;
Einjährige Freilandgemüse (ohne Konservengemüse);wie Gemüse;0.367198942;0.376245841;0.288888759;0.2;0.330126138;0.3;0.2;
Einjährige gärtnerische Freilandkulturen (Blumen, Rollrasen, usw.);;0.1;0.1;0.08;0.05;0.1;0.08;0.05;
Einjährige Gewürz- und Medizinalpflanzen;;0.1;0.1;0.08;0.05;0.1;0.08;0.05;
Einjährige nachwachsende Rohstoffe (Kenaf, usw.);Kenaf;0.198073353;0.198073353;0.1;0.08;0.14;0.08;0.06;
Eiweisserbsen zu Futterzwecken;Sommer/Wintereiweisserbsen;0.091719294;0.107193814;0.077546657;0.060060444;0.076833598;0.067909288;0.06;
Emmer, Einkorn;Winteremmer/-einkorn;0.09392784;0.096179338;0.087623646;0.05;0.09;0.07;0.05;
Extensiv genutzte Weiden;;0.004;0.004;0.004;0.004;0.004;0.004;0.004;13.11.2024
Extensiv genutzte Wiesen (ohne Weiden);;0.004;0.004;0.004;0.004;0.004;0.004;0.004;13.11.2024
Freiland-Konservengemüse;wie Gemüse;0.35;0.35;0.3;0.2;0.4;0.3;0.2;
Futtergräser für die Samenproduktion (Vertragsanbau);;0.1;0.1;0.08;0.05;0.1;0.08;0.05;
Futterleguminosen für die Samenproduktion (Vertragsanbau) (Rot-/Weissklee, Luzerne, Esparsette);;0.1;0.1;0.08;0.05;0.1;0.08;0.05;
Futterrüben;wie Zuckerrüben;0.153818539;0.163915219;0.112498731;0.071948183;0.162396481;0.107108129;0.07;
Futterweizen gemäss Sortenliste swiss granum;wie Winterweizen;0.113474907;0.123369369;0.10364141;0.05;0.10031099;0.074993468;0.05271373;
Gärtnerische Kulturen in geschütztem Anbau ohne festes Fundament;;0;0;0;0;0;0;0;13.11.2024
Gärtnerische Kulturen in Gewächshäusern mit festem Fundament;;0;0;0;0;0;0;0;13.11.2024
Gemüsekulturen in geschütztem Anbau ohne festes Fundament;;0;0;0;0;0;0;0;13.11.2024
Gemüsekulturen in Gewächshäusern mit festem Fundament;;0;0;0;0;0;0;0;13.11.2024
Getreide siliert;wie Winterweizen;0.113474907;0.123369369;0.10364141;0.05;0.10031099;0.074993468;0.05271373;
Hafer;Sommerhafer;0.091470975;0.10100235;0.07444323;0.049846589;0.100917785;0.067703925;0.058346793;
Hanf (nur Sorten nach BLW- und EU-Sortenkatalog);Hanf;0.244204947;0.11618616;0.1;0.08;0.12;0.08;0.06;
Hecken-, Feld- und Ufergehölze (mit Krautsaum);;0.03;0.03;0.03;0.03;0.03;0.03;0.03;13.11.2024
Hecken-, Feld- und Ufergehölze (mit Pufferstreifen);;0.03;0.03;0.03;0.03;0.03;0.03;0.03;13.11.2024
Hecken-, Feld- und Ufergehölze (mit Pufferstreifen) (regionsspezifische Biodiversitätsförderfläche);;0.03;0.03;0.03;0.03;0.03;0.03;0.03;13.11.2024
Heuwiesen im Sömmerungsgebiet, Übrige Wiesen;;0.004;0.004;0.004;0.004;0.004;0.004;0.004;13.11.2024
Hirse;Hirse;0.100546767;0.12134582;0.1;0.08;0.12;0.08;0.06;
Hopfen;;0.49;0.49;0.49;0.49;0.49;0.49;0.49;13.11.2024
Kartoffeln;Kartoffeln;0.241437658;0.251065651;0.154720555;0.1;0.226693824;0.136276729;0.1;
Körnermais;Körnermais;0.181378021;0.20630875;0.099505265;0.085418998;0.143844238;0.098189218;0.06;
Kunstwiesen (ohne Weiden);Kunstwiese;0.023729782;0.02634997;0.033306428;0.043062554;0.0186306;0.020801094;0.032481574;
Lein;Sommerlein/Winterlein;0.12267646;0.105947068;0.0854662;0.06;0.09;0.08;0.06;
Leindotter;;0.1;0.1;0.08;0.05;0.1;0.08;0.05;
Linsen;;0.1;0.1;0.08;0.05;0.1;0.08;0.05;
Lupinen zu Futterzwecken;Süsslupinen;0.080024016;0.092142047;0.080745967;0.06;0.1;0.08;0.06;
Mehrjährige Beeren;;0.4;0.4;0.4;0.4;0.4;0.4;0.4;13.11.2024
Mehrjährige gärtnerische Freilandkulturen (nicht im Gewächshaus);;0.1;0.1;0.1;0.1;0.1;0.1;0.1;13.11.2024
Mehrjährige Gewürz- und Medizinalpflanzen;;0.1;0.1;0.1;0.1;0.1;0.1;0.1;13.11.2024
Mehrjährige nachwachsende Rohstoffe (Chinaschilf, usw.);;0.1;0.1;0.1;0.1;0.1;0.1;0.1;13.11.2024
Mischel Brotgetreide;wie Winterweizen;0.113474907;0.123369369;0.10364141;0.05;0.10031099;0.074993468;0.05271373;
Mischel Futtergetreide;wie Winterweizen;0.113474907;0.123369369;0.10364141;0.05;0.10031099;0.074993468;0.05271373;
Mischungen von Ackerbohnen, Eiweisserbsen und Lupinen zu Futterzwecken mit Getreide, mindestens 30 % Anteil Leguminosen bei der Ernte (zur Körnergewinnung);;0.1;0.1;0.08;0.05;0.1;0.08;0.05;
Mohn;;0.1;0.1;0.08;0.05;0.1;0.08;0.05;
Obstanlagen (Äpfel);;0.01;0.01;0.01;0.01;0.01;0.01;0.01;13.11.2024
Obstanlagen (Birnen);;0.01;0.01;0.01;0.01;0.01;0.01;0.01;13.11.2024
Obstanlagen (Steinobst);;0.01;0.01;0.01;0.01;0.01;0.01;0.01;13.11.2024
Oelkürbisse;wie Gemüse;0.35;0.35;0.3;0.2;0.4;0.3;0.2;
Offene Ackerfläche, beitragsberechtigt (regionsspezifische Biodiversitätsförderfläche);;0.05;0.05;0.04;0.03;0.05;0.04;0.03;
Pflanzkartoffeln (Vertragsanbau);Pflanzkartoffeln ;0.289725189;0.301278781;0.185664667;0.12;0.272032589;0.163532075;0.12;
Quinoa;;0.1;0.1;0.08;0.05;0.1;0.08;0.05;
Reben;;0.25;0.25;0.25;0.25;0.25;0.25;0.25;13.11.2024
Rebflächen mit natürlicher Artenvielfalt;;0.03;0.03;0.03;0.03;0.03;0.03;0.03;13.11.2024
Reis;Reis;0.1;0.1;0.08;0.05;0.1;0.08;0.05;
Rhabarber;;0.4;0.4;0.4;0.4;0.4;0.4;0.4;13.11.2024
Roggen;Winterroggen;0.079797047;0.079410762;0.065102363;0.083028346;0.093860851;0.066439001;0.048477536;
Rotationsbrache;wie Buntbrache;0.060003789;0.062211863;0.063579463;0.05;0.046666647;0.03303533;0.0265;
Ruderalflächen, Steinhaufen und -wälle;;0.03;0.03;0.03;0.03;0.03;0.03;0.03;13.11.2024
Saatmais (Vertragsanbau);wie Silomais;0.146837788;0.173823564;0.079906304;0.058474857;0.150541841;0.063607859;0.042660687;
Saflor (Färberdistel);;0.1;0.1;0.08;0.05;0.1;0.08;0.05;
Saum auf Ackerfläche;;0.05;0.05;0.04;0.03;0.05;0.04;0.03;
Senf;;0.1;0.1;0.08;0.05;0.1;0.08;0.05;
Silo- und Grünmais;Silomais;0.146837788;0.173823564;0.079906304;0.058474857;0.150541841;0.063607859;0.042660687;
Soja;Soja;0.175309423;0.184570399;0.118434643;0.1;0.130541811;0.1;0.06;
Sommergerste;Sommergerste;0.092409458;0.091686354;0.08;0.05;0.100250169;0.08;0.040579863;
Sommerraps als nachwachsender Rohstoff;wie Sommerraps;0.060048278;0.1;0.08;0.06;0.1;0.08;0.06;
Sommerraps zur Speiseölgewinnung;Sommerraps;0.060048278;0.1;0.08;0.06;0.1;0.08;0.06;
Sommerweizen (ohne Futterweizen der Sortenliste swiss granum);Sommerweizen;0.105117963;0.129795919;0.093985356;0.059849778;0.064481765;0.049742008;0.034757046;
Sonnenblumen als nachwachsender Rohstoff;wie Sonnenblumen;0.1649222;0.184546945;0.099447069;0.076893399;0.167042996;0.1;0.06;
Sonnenblumen zur Speiseölgewinnung;Sonnenblumen;0.1649222;0.184546945;0.099447069;0.076893399;0.167042996;0.1;0.06;
Sorghum;wie Silomais;0.146837788;0.173823564;0.079906304;0.058474857;0.150541841;0.063607859;0.042660687;
Spargel;;0.5;0.5;0.5;0.5;0.5;0.5;0.5;13.11.2024
Streueflächen in der LN;;0.03;0.03;0.03;0.03;0.03;0.03;0.03;13.11.2024
Tabak;Tabak;0.205098469;0.208569037;0.15;0.1;0.17;0.1;0.06;
Triticale;Wintertriticale;0.081926298;0.08614043;0.053357558;0.039266634;0.099838934;0.054073936;0.05;
Trüffelanlagen;;0.004;0.004;0.004;0.004;0.004;0.004;0.004;13.11.2024
Übrige Baumschulen (Rosen, Früchte, usw.);;0.01;0.01;0.01;0.01;0.01;0.01;0.01;13.11.2024
Übrige Dauerwiesen (ohne Weiden);;0.004;0.004;0.004;0.004;0.004;0.004;0.004;13.11.2024
Übrige Flächen innerhalb der LN, beitragsberechtigt;;0.1;0.1;0.1;0.1;0.1;0.1;0.1;13.11.2024
Übrige Flächen innerhalb der LN, nicht beitragsberechtigt;;0.1;0.1;0.1;0.1;0.1;0.1;0.1;13.11.2024
Übrige Flächen mit Dauerkulturen, beitragsberechtigt;;0.1;0.1;0.1;0.1;0.1;0.1;0.1;13.11.2024
Übrige Flächen mit Dauerkulturen, nicht beitragsberechtigt;;0.1;0.1;0.1;0.1;0.1;0.1;0.1;13.11.2024
Übrige Grünfläche (Dauergrünfläche), beitragsberechtigt;;0.004;0.004;0.004;0.004;0.004;0.004;0.004;13.11.2024
Übrige Grünfläche (Dauergrünflächen), nicht beitragsberechtigt;;0.004;0.004;0.004;0.004;0.004;0.004;0.004;13.11.2024
Übrige Kulturen in geschütztem Anbau mit festem Fundament;;0;0;0;0;0;0;0;13.11.2024
Übrige Kulturen in geschütztem Anbau ohne festes Fundament, beitragsberechtigt;;0;0;0;0;0;0;0;13.11.2024
Übrige Kulturen in geschütztem Anbau ohne festes Fundament, nicht beitragsberechtigt;;0;0;0;0;0;0;0;13.11.2024
Übrige Kunstwiese, beitragsberechtigt (z.B. Schweineweide, Geflügelweide);wie Kunstwiese;0.023729782;0.02634997;0.033306428;0.043062554;0.0186306;0.020801094;0.032481574;
übrige offene Ackerfläche, beitragsberechtigt;;0.1;0.1;0.08;0.05;0.1;0.08;0.05;
übrige offene Ackerfläche, nicht beitragsberechtigt;;0.1;0.1;0.08;0.05;0.1;0.08;0.05;
Übrige offene Ackerfläche, nicht beitragsberechtigt (regionsspezifische Biodiversitätsförderfläche);;0.05;0.05;0.04;0.03;0.05;0.04;0.03;
Übrige Spezialkulturen in geschütztem Anbau ohne festes Fundament;;0;0;0;0;0;0;0;13.11.2024
Übrige Spezialkulturen in Gewächshäusern mit festem Fundament;;0;0;0;0;0;0;0;13.11.2024
Uferwiesen entlang von Fliessgewässern (ohne Weiden);;0.004;0.004;0.004;0.004;0.004;0.004;0.004;13.11.2024
Wassergräben, Tümpel, Teiche;;0;0;0;0;0;0;0;13.11.2024
Weiden (Heimweiden, übrige Weiden ohne Sömmerungsweiden);;0.004;0.004;0.004;0.004;0.004;0.004;0.004;13.11.2024
Wenig intensiv genutzte Wiesen (ohne Weiden);;0.004;0.004;0.004;0.004;0.004;0.004;0.004;13.11.2024
Wintergerste;Wintergerste;0.090302467;0.104599915;0.074758784;0.070676882;0.08520243;0.05268116;0.050283267;
Winterraps als nachwachsender Rohstoff;wie Winterraps;0.069129545;0.078676638;0.051526644;0.050746986;0.074344514;0.044210242;0.035570353;
Winterraps zur Speiseölgewinnung;Winterraps;0.069129545;0.078676638;0.051526644;0.050746986;0.074344514;0.044210242;0.035570353;
Winterweizen (ohne Futterweizen der Sortenliste swiss granum);Winterweizen;0.113474907;0.123369369;0.10364141;0.05;0.10031099;0.074993468;0.05271373;
Wurzeln der Treibzichorie;wie Gemüse;0.35;0.35;0.3;0.2;0.4;0.3;0.2;
Ziersträucher, Ziergehölze und Zierstauden;;0.01;0.01;0.01;0.01;0.01;0.01;0.01;13.11.2024
Zuckerrüben;Zuckerrüben;0.153818539;0.163915219;0.112498731;0.071948183;0.162396481;0.107108129;0.07;
;;;;;;;;;
;;;;;;;;;
;Sommeremmer/-einkorn;0.098126981;0.1;0.098126981;0.06;0.1;0.08;0.06;
;Sommertriticale;0.069821169;0.102576352;0.09;0.06;0.060861423;0.06;0.05;
;;;;;;;;;
;;;;;;;;;
;Sommerlein;0.111057607;0.114596091;0.093954934;0.06;0.1;0.08;0.06;
;Winterlein;0.157533018;0.08;0.06;0.05;0.075;0.055;0.04;
;Lein;0.12267646;0.105947068;0.0854662;0.06;0.09;0.08;0.06;
;;;;;;;;;
;Wintereiweisserbsen;0.085937668;0.113200632;0.090715194;0.064787725;0.061192443;0.043727864;0.04;
;Sommereiweisserbsen;0.094610107;0.104190404;0.070962388;0.057696803;0.084654176;0.08;0.078701242;
;Sommer/Wintereiweisserbsen;0.091719294;0.107193814;0.077546657;0.060060444;0.076833598;0.067909288;0.06;
;;;;;;;;;
;Winterackerbohnen;0.096478118;0.150578236;0.063747281;0.05;0.1;0.062657177;0.05;
;Sommerackerbohnen;0.102687927;0.107898327;0.100411724;0.06;0.1;0.08;0.06;
;Sommer/Winterackerbohnen;0.100617991;0.122124963;0.088190243;0.06;0.1;0.08;0.06;
Anderer Hanf;Hanf;0.244204947;0.11618616;0.1;0.08;0.12;0.08;0.06;12.11.2025
Baumschulen von Obst und Beeren;;0.01;0.01;0.01;0.01;0.01;0.01;0.01;12.11.2025
Bohnen und Wicken zur Körnergewinnung (z.B. Ackerbohnen) ;Sommer/Winterackerbohnen;0.100617991;0.122124963;0.088190243;0.06;0.1;0.08;0.06;12.11.2025
Erbsen zur Körnergewinnung (z.B. Eiweisserbsen);Sommer/Winterackerbohnen;0.100617991;0.122124963;0.088190243;0.06;0.1;0.08;0.06;12.11.2025
Hanf zur Fasernutzung ;Hanf;0.244204947;0.11618616;0.1;0.08;0.12;0.08;0.06;12.11.2025
Hanf zur Nutzung der Samen;Hanf;0.244204947;0.11618616;0.1;0.08;0.12;0.08;0.06;12.11.2025
Hartweizen;Winterweizen;0.113474907;0.123369369;0.10364141;0.05;0.10031099;0.074993468;0.05271373;12.11.2025
Hirse zur Körnergewinnung;Sommergerste;0.092409458;0.091686354;0.08;0.05;0.100250169;0.08;0.040579863;12.11.2025
Hirse zur Nutzung ganze Pflanze;Sommergerste;0.092409458;0.091686354;0.08;0.05;0.100250169;0.08;0.040579863;12.11.2025
Kichererbsen;Linsen;0.1;0.1;0.08;0.05;0.1;0.08;0.05;12.11.2025
Lupinen;;0.1;0.1;0.08;0.05;0.1;0.08;0.05;12.11.2025
Mischungen von Bohnen, Wicken, Erbsen, Kichererbsen und Lupinen mit Getreide oder Leindotter, mindestens 30 % Anteil Leguminosen bei der Ernte (zur Körnergewinnung);Sommer/Winterackerbohnen;0.100617991;0.122124963;0.088190243;0.06;0.1;0.08;0.06;12.11.2025
Mischungen von Linsen mit Getreide oder Leindotter, mindestens 30 % Anteil Linsen bei der Ernte (zur Körnergewinnung);Sommer/Winterackerbohnen;0.100617991;0.122124963;0.088190243;0.06;0.1;0.08;0.06;12.11.2025
Nassreis;Reis;0.1;0.1;0.08;0.05;0.1;0.08;0.05;12.11.2025
Nützlingsstreifen auf offener Ackerfläche;wie Blühstreifen;0.05;0.05;0.04;0.03;0.05;0.04;0.03;12.11.2025
Obstanlagen aggregiert;;0.01;0.01;0.01;0.01;0.01;0.01;0.01;12.11.2025
Regionsspezifische Biodiversitätsförderflächen;wie Blühstreifen;0.05;0.05;0.04;0.03;0.05;0.04;0.03;12.11.2025
Sorghum zur Körnergewinnung;Silomais;0.146837788;0.173823564;0.079906304;0.058474857;0.150541841;0.063607859;0.042660687;12.11.2025
Sorghum zur Nutzung ganze Pflanze;Silomais;0.146837788;0.173823564;0.079906304;0.058474857;0.150541841;0.063607859;0.042660687;12.11.2025
Streueflächen in der landwirtschaftlichen Nutzfläche;;0.03;0.03;0.03;0.03;0.03;0.03;0.03;12.11.2025
Trockenreis;Reis;0.1;0.1;0.08;0.05;0.1;0.08;0.05;12.11.2025
Übrige Baumschulen (Rosen, Zierstauden, usw.);;0.01;0.01;0.01;0.01;0.01;0.01;0.01;12.11.2025
Übrige Dauerkulturen, beitragsberechtigt, aggregiert;;0.01;0.01;0.01;0.01;0.01;0.01;0.01;12.11.2025
Uferwiesen (ohne Weiden);;0.004;0.004;0.004;0.004;0.004;0.004;0.004;12.11.2025
Ölkürbisse;wie Gemüse;0.35;0.35;0.3;0.2;0.4;0.3;0.2;12.11.2025
